
﻿Day;Clicks;Registrations;CTR;"FTD count";RTD;CTD;"FTD sum";"Count of deposits";Deposits;Withdrawals;NetDep;Commission;"Active Traders";"Trades #";"Avg FTD";"Avg Dep"
10.03.2026;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11.03.2026;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.03.2026;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.03.2026;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.03.2026;1;1;100;0;0;0;0;0;0;0;0;0;0;0;0;0
21.03.2026;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22.03.2026;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
23.03.2026;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24.03.2026;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25.03.2026;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26.03.2026;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27.03.2026;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.04.2026;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.04.2026;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05.04.2026;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06.04.2026;5;2;40;1;50;20;106.25;1;106.25;0;106.25;74.38;1;46;106.25;106.25
07.04.2026;2;1;50;0;0;0;0;0;0;0;0;0;0;0;0;0
08.04.2026;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
09.04.2026;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11.04.2026;2;0;0;0;0;0;0;1;21.58;0;21.58;15.1;1;22;0;21.58
12.04.2026;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.04.2026;2;1;50;0;0;0;0;1;215.75;0;215.75;1;1;26;0;215.75
14.04.2026;3;0;0;0;0;0;0;0;0;0;0;60.26;1;162;0;0
15.04.2026;2;1;50;0;0;0;0;1;21.72;0;21.72;104.97;1;14;0;21.72
16.04.2026;0;0;0;0;0;0;0;1;47.84;0;47.84;33.49;1;67;0;47.84
17.04.2026;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18.04.2026;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.04.2026;2;0;0;0;0;0;0;1;54.16;0;54.16;0.19;1;9;0;54.16
20.04.2026;1;1;100;0;0;0;0;0;0;0;0;37.72;1;258;0;0
22.04.2026;2;1;50;1;100;50;54.07;1;54.07;0;54.07;0;0;0;54.07;54.07
23.04.2026;2;0;0;0;0;0;0;0;0;63.21;-63.21;0;0;0;0;0
25.04.2026;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26.04.2026;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27.04.2026;3;1;33.33;0;0;0;0;0;0;0;0;0;0;0;0;0
28.04.2026;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
